item_name,beta_mean,beta_sd,beta_q025,beta_q975,beta_true
Ari_Tech_1,-1.8219,0.1025,-2.023,-1.6194,-1.1203
Ari_Tech_2,-1.913,0.1069,-2.1231,-1.7134,-1.1711
Ari_Nume_1,-0.4961,0.0903,-0.67,-0.3141,0.2918
Ari_Nume_2,-0.4546,0.0905,-0.631,-0.2761,0.3618
Ari_Abst_1,-1.3231,0.095,-1.5115,-1.1408,-0.5287
Ari_Abst_2,-1.2569,0.0951,-1.4478,-1.074,-0.5287
Geo_Tech_1,-0.7575,0.0898,-0.9348,-0.5875,-0.0737
Geo_Tech_2,-0.8885,0.0916,-1.0673,-0.7064,-0.1386
Geo_Nume_1,-0.7134,0.0897,-0.8915,-0.541,0.0324
Geo_Nume_2,-0.6896,0.0895,-0.8704,-0.5186,0.1134
Geo_Abst_1,-0.2796,0.0872,-0.4532,-0.1072,0.5429
Geo_Abst_2,-0.26,0.0878,-0.4332,-0.0879,0.5427
Alg_Tech_1,-0.9024,0.0914,-1.0825,-0.7231,-0.1106
Alg_Tech_2,-1.0959,0.0955,-1.2864,-0.9072,-0.2831
Alg_Nume_1,-0.3161,0.0892,-0.4927,-0.1459,0.552
Alg_Nume_2,-0.0923,0.0893,-0.2649,0.0839,0.645
Alg_Abst_1,0.1034,0.0885,-0.0722,0.2742,0.889
Alg_Abst_2,0.336,0.0885,0.163,0.5084,0.9951
