item_id,item_name,topic_area,modeling_type,beta_cell,beta_true
0,Ari_Tech_1,Arithmetic,TechnicalProcessing,-1.16,-1.1202628677591013
1,Ari_Tech_2,Arithmetic,TechnicalProcessing,-1.16,-1.1710611440936947
2,Ari_Nume_1,Arithmetic,NumericalModeling,0.24,0.29181508304805537
3,Ari_Nume_2,Arithmetic,NumericalModeling,0.24,0.36184238851264205
4,Ari_Abst_1,Arithmetic,AbstractModeling,-0.51,-0.5287322699778669
5,Ari_Abst_2,Arithmetic,AbstractModeling,-0.51,-0.5287309565559345
6,Geo_Tech_1,Geometry,TechnicalProcessing,-0.2,-0.0736629747594087
7,Geo_Tech_2,Geometry,TechnicalProcessing,-0.2,-0.13860522166776731
8,Geo_Nume_1,Geometry,NumericalModeling,0.07,0.032442049125203834
9,Geo_Nume_2,Geometry,NumericalModeling,0.07,0.11340480348687718
10,Geo_Abst_1,Geometry,AbstractModeling,0.58,0.542926584575003
11,Geo_Abst_2,Geometry,AbstractModeling,0.58,0.5427416197143794
12,Alg_Tech_1,Algebra,TechnicalProcessing,-0.13,-0.11064301827471727
13,Alg_Tech_2,Algebra,TechnicalProcessing,-0.13,-0.28306241957262385
14,Alg_Nume_1,Algebra,NumericalModeling,0.69,0.5520065733989573
15,Alg_Nume_2,Algebra,NumericalModeling,0.69,0.6450169976607222
16,Alg_Abst_1,Algebra,AbstractModeling,0.97,0.8889735103732461
17,Alg_Abst_2,Algebra,AbstractModeling,0.97,0.9951397866076219
