item_name,beta_estimated,beta_true
Ari_Tech_1,-1.8185,-1.1203
Ari_Tech_2,-1.9091,-1.1711
Ari_Nume_1,-0.4949,0.2918
Ari_Nume_2,-0.4522,0.3618
Ari_Abst_1,-1.3205,-0.5287
Ari_Abst_2,-1.255,-0.5287
Geo_Tech_1,-0.7567,-0.0737
Geo_Tech_2,-0.8856,-0.1386
Geo_Nume_1,-0.7123,0.0324
Geo_Nume_2,-0.687,0.1134
Geo_Abst_1,-0.2772,0.5429
Geo_Abst_2,-0.2593,0.5427
Alg_Tech_1,-0.8987,-0.1106
Alg_Tech_2,-1.0933,-0.2831
Alg_Nume_1,-0.3132,0.552
Alg_Nume_2,-0.0924,0.645
Alg_Abst_1,0.1035,0.889
Alg_Abst_2,0.3366,0.9951
