Student_ID,Group,SDL_Pre_Q1,SDL_Post_Q1,SDL_Pre_Q2,SDL_Post_Q2,SDL_Pre_Q3,SDL_Post_Q3,SDL_Pre_Q4,SDL_Post_Q4,SDL_Pre_Q5,SDL_Post_Q5,SDL_Pre_Q6,SDL_Post_Q6,SDL_Pre_Q7,SDL_Post_Q7,SDL_Pre_Q8,SDL_Post_Q8,SDL_Pre_Q9,SDL_Post_Q9,SDL_Pre_Q10,SDL_Post_Q10,SDL_Pre_Q11,SDL_Post_Q11,SDL_Pre_Q12,SDL_Post_Q12,SDL_Pre_Q13,SDL_Post_Q13,SDL_Pre_Q14,SDL_Post_Q14,SDL_Pre_Q15,SDL_Post_Q15
E01,Experimental,5,6,5,4,4,3,3,6,4,7,6,3,5,8,3,4,3,3,7,7,5,4,3,6,5,3,6,4,7,8
E02,Experimental,3,5,7,3,5,3,4,7,3,4,7,6,3,4,5,8,7,8,3,6,6,6,6,8,5,6,8,4,4,5
E03,Experimental,7,8,8,9,8,9,5,6,5,7,4,9,8,7,7,8,9,6,9,7,7,5,6,8,8,9,7,5,6,7
E04,Experimental,6,8,5,7,8,6,6,6,6,6,8,8,3,9,5,8,7,4,6,4,4,9,6,4,4,8,5,7,7,7
E05,Experimental,5,3,4,7,3,7,4,4,3,5,4,3,6,7,6,5,3,5,6,3,5,5,7,5,4,4,6,5,7,2
E06,Experimental,3,7,3,4,3,5,4,4,3,7,5,4,4,9,5,4,4,7,4,4,3,9,6,5,5,9,2,8,3,7
E07,Experimental,2,6,4,3,2,8,4,5,6,6,5,5,4,4,4,5,3,6,2,6,4,3,5,7,4,7,5,3,4,7
E08,Experimental,4,9,7,9,5,3,8,8,6,4,7,9,5,6,5,4,8,4,7,7,7,5,5,5,7,6,6,9,5,5
E09,Experimental,5,6,5,3,7,6,4,9,7,8,7,8,5,5,6,9,4,9,8,9,6,4,6,8,4,9,4,5,4,5
E10,Experimental,5,6,3,9,8,5,4,6,7,5,4,6,8,7,3,9,4,9,6,9,6,9,2,5,5,4,8,9,6,9
E11,Experimental,7,9,5,9,7,9,5,9,6,8,5,9,5,8,7,6,3,6,5,7,7,6,4,8,5,4,6,6,5,8
E12,Experimental,5,9,4,6,4,5,4,9,6,9,5,5,4,9,7,9,6,6,7,8,2,7,6,9,4,6,3,9,4,9
E13,Experimental,6,6,4,8,4,5,7,9,5,5,4,6,5,9,5,8,5,5,5,7,8,9,8,9,7,3,7,6,6,5
E14,Experimental,7,5,6,5,8,4,4,9,4,7,3,5,7,8,7,8,7,8,6,9,6,3,4,4,7,5,3,4,5,4
E15,Experimental,2,6,3,8,4,3,5,8,4,4,7,5,3,8,4,3,3,3,3,7,4,6,3,5,7,4,4,6,5,8
E16,Experimental,4,6,7,7,4,5,7,7,6,6,5,7,8,5,6,8,5,9,7,9,4,8,6,5,6,5,8,9,4,4
E17,Experimental,2,5,5,5,4,4,6,8,5,8,2,5,3,8,5,6,2,5,4,9,5,4,5,5,3,9,6,6,5,9
E18,Experimental,6,5,7,9,5,7,5,5,7,6,7,9,5,7,5,6,4,8,4,6,4,9,7,5,8,6,5,5,3,7
C01,Control,7,8,6,6,8,3,3,3,7,4,4,8,7,4,7,8,7,6,3,3,6,6,4,7,7,6,4,5,6,5
C02,Control,5,9,6,9,3,9,7,7,3,5,7,4,7,9,6,5,6,7,6,5,6,7,7,5,7,7,5,9,6,4
C03,Control,8,4,5,4,6,6,6,6,5,3,5,4,4,3,3,6,5,5,6,7,8,2,3,5,6,6,5,2,7,4
C04,Control,5,8,8,4,6,4,6,5,5,5,6,4,7,6,4,8,8,5,3,6,3,8,4,5,7,5,4,6,7,4
C05,Control,4,3,7,3,5,3,6,3,5,7,4,7,3,7,4,4,6,4,3,7,4,5,7,7,5,2,5,4,7,5
C06,Control,6,4,5,7,8,5,5,7,8,6,3,3,7,4,5,3,3,6,6,6,7,3,3,6,3,3,4,5,7,7
C07,Control,7,3,6,6,4,7,4,4,5,5,8,5,6,4,6,3,6,5,7,7,8,2,3,5,7,7,4,4,8,8
C08,Control,5,3,3,7,3,7,6,4,4,3,7,5,4,6,6,3,5,8,3,6,3,7,6,4,4,7,4,4,6,8
C09,Control,3,7,3,7,2,5,5,4,5,5,3,4,3,5,5,4,3,3,5,3,3,6,3,4,3,3,4,3,3,3
C10,Control,4,5,5,2,3,6,5,2,6,3,3,5,7,5,3,4,3,3,3,2,4,5,5,3,5,4,4,5,4,5
C11,Control,6,4,7,3,3,6,6,3,7,6,3,6,7,7,3,4,8,6,3,4,6,3,4,5,4,3,8,5,6,2
C12,Control,7,7,3,4,5,5,5,3,3,4,3,4,6,7,7,6,5,4,3,6,4,6,3,7,5,7,6,5,4,7
C13,Control,5,5,7,8,8,7,7,4,9,8,7,7,6,6,5,4,5,4,7,5,8,4,5,8,9,5,6,4,6,4
C14,Control,3,5,3,9,4,5,3,8,4,5,4,9,4,6,5,9,2,4,7,8,5,8,7,3,4,7,6,4,4,9
C15,Control,4,8,5,9,7,5,4,5,4,9,4,9,8,9,3,6,6,5,6,7,8,5,8,6,4,9,7,9,6,6
C16,Control,7,6,7,6,5,7,5,4,9,5,8,8,9,5,5,4,4,3,7,7,6,4,9,7,7,7,8,6,4,5
C17,Control,3,4,4,4,5,6,4,5,5,8,8,8,3,8,4,4,3,6,3,6,7,5,3,3,4,7,5,6,6,9
C18,Control,7,7,4,9,5,5,6,4,5,5,4,6,5,6,5,5,7,5,5,4,6,6,7,9,3,8,4,3,6,7
